2015-12-05 19:03:17,158 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/charly/Fac/JEE/Projet/workspace/web-directory/src/main/resources
2015-12-05 19:03:17,161 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-05 19:03:17,162 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/charly/Fac/JEE/Projet/workspace/web-directory/src/test/resources
2015-12-05 19:04:42,355 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-05 19:04:42,356 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/charly/Fac/JEE/Projet/workspace/web-directory/src/main/resources
2015-12-05 19:04:42,360 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-05 19:04:42,360 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/charly/Fac/JEE/Projet/workspace/web-directory/src/test/resources
2015-12-05 19:05:53,723 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-05 19:05:53,724 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/charly/Fac/JEE/Projet/workspace/web-directory/src/main/resources
2015-12-05 19:05:53,726 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-05 19:05:53,726 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/charly/Fac/JEE/Projet/workspace/web-directory/src/test/resources
2015-12-05 19:06:43,554 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-05 19:06:43,555 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/charly/Fac/JEE/Projet/workspace/web-directory/src/main/resources
2015-12-05 19:06:43,558 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-05 19:06:43,558 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/charly/Fac/JEE/Projet/workspace/web-directory/src/test/resources
2015-12-05 19:07:30,933 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-05 19:07:30,934 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/charly/Fac/JEE/Projet/workspace/web-directory/src/main/resources
